67.01756008,0.1477035,,Fe CS,%,,,
63.74198213,0.3841162,,,,,,
63.71086547,0.4264802,,,,,,
63.68370419,0.4947252,,,,,,
63.64120895,0.5723872,,,,,,
63.58670205,0.6394652,,,,,,
63.55964651,0.7135932,,,,,,
63.52512712,0.7630172,,,,,,
63.47374323,0.6218592,,,,,,
63.42276682,0.4771722,,,,,,
63.38774776,0.4030672,,,,,,
63.34111578,0.3207312,,,,,,
63.2987532,0.3760412,,,,,,
63.2293495,0.3701842,,,,,,
63.18327219,0.3890242,,,,,,
63.1449793,0.4537442,,,,,,
63.107054,0.5996402,,,,,,
63.05762674,0.6796582,,,,,,
63.01532211,0.6102622,,,,,,
62.96507907,0.5349862,,,,,,
62.8884291,0.3938382,,,,,,
62.81578428,0.3644532,,,,,,
62.77380341,0.2797632,,,,,,
62.7204543,0.2044892,,,,,,
62.67099697,0.136272,,,,,,
62.5312905,0.1327946,,,,,,
62.47079738,0.1234053,,,,,,
62.41827607,0.08577807,,,,,,
62.37651085,0.0257937,,,,,,
62.3282209,0.07992946,,,,,,
62.26436739,0.0576005,,,,,,
62.20875886,0.1164449,,,,,,
62.14514977,0.0647043,,,,,,
62.08229234,0.1341397,,,,,,
62.02700842,0.2106312,,,,,,
61.95293355,0.2271302,,,,,,
61.89726164,0.2118572,,,,,,
61.85649913,0.1212843,,,,,,
61.79761196,0.1377774,,,,,,
61.74621603,0.1719146,,,,,,
61.66575493,0.2213572,,,,,,
61.60019022,0.2966762,,,,,,
61.57418683,0.2284512,,,,,,
61.55584471,0.1519877,,,,,,
61.4719163,0.1755494,,,,,,
61.41771363,0.2485112,,,,,,
61.3669474,0.3320602,,,,,,
61.31596179,0.2626682,,,,,,
61.26869381,0.1979812,,,,,,
61.19279361,0.1285989,,,,,,
61.1312442,0.1097994,,,,,,
61.09208608,0.1792262,,,,,,
61.04846886,0.1074788,,,,,,
61.02022612,0.1733722,,,,,,
60.99170948,0.2486772,,,,,,
60.92457562,0.4757622,,,,,,
60.8791046,0.7640152,,,,,,
60.85490105,0.9652012,,,,,,
60.81937763,1.0487442,,,,,,
60.78687575,0.8958162,,,,,,
60.77197824,0.7428802,,,,,,
60.72108393,0.4511362,,,,,,
60.69581729,0.3005582,,,,,,
