Transition register 	 shell IS 	 IS Configuration 	 IS 2JJ 	 IS eigenvalue 	 IS higher configuration 	 IS percentage 	 shell FS 	 FS Configuration 	 FS 2JJ 	 FS eigenvalue 	 FS higher configuration 	 FS percentage 	 transition energy [eV] 	 rate [s-1]	 total rate 	 branching ratio
230 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 2 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3d 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1  	 5 	 3 	 2p*2 2p3 3d*3 3d6 1s2 2s2 3s2 4s1 3p*2 3p4  	 64.48159 	 8.0207775E+03	3.7060846E+10	1266660733133360	2.92587e-05
231 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 2 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3d 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1  	 5 	 2 	 2p*2 2p3 3d*3 3d6 1s2 2s2 3s2 4s1 3p*2 3p4  	 52.78157 	 8.0215311E+03	2.1162081E+11	1266660733133360	0.00016707
232 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 2 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3d 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1  	 7 	 2 	 2p*2 2p3 3d*4 3d5 1s2 2s2 3s2 4s1 3p*2 3p4  	 53.95111 	 8.0217539E+03	3.6422699E+11	1266660733133360	0.000287549
233 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 2 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3d 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1  	 7 	 1 	 2p*2 2p3 3d*4 3d5 1s2 2s2 3s2 4s1 3p*2 3p4  	 97.58034 	 8.0226093E+03	4.9844422E+11	1266660733133360	0.00039351
234 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 2 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3d 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1  	 5 	 1 	 2p*2 2p3 3d*4 3d5 1s2 2s2 3s2 4s1 3p*2 3p4  	 60.71257 	 8.0226617E+03	1.2481517E+11	1266660733133360	9.85388e-05
235 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 2 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3d 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1  	 3 	 1 	 2p*2 2p3 3d*4 3d5 1s2 2s2 3s2 4s1 3p*2 3p4  	 53.86267 	 8.0227050E+03	1.1192928E+11	1266660733133360	8.83656e-05
236 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 2 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3d 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1  	 9 	 1 	 1s2 2s2 3s2 4s1 2p*2 2p3 3p*2 3p4 3d*4 3d5  	 100 	 8.0229603E+03	1.3285568E+12	1266660733133360	0.00104887
237 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 2 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_4s 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)0  	 3 	 1 	 1s2 2s2 3s2 2p*2 2p3 3p*2 3p4 3d*4 3d6  	 100 	 8.0307257E+03	2.0983953E+11	1266660733133360	0.000165664
238 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 2 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3s_3s 	 (1s)2 (2s)2 (2p)6 (3s)0 (3p)6 (3d)10 (4s)1  	 1 	 1 	 1s2 2s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 8.7009706E+03	1.5412940E+12	1266660733133360	0.00121682
239 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 2 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3s_3p 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)5 (3d)10 (4s)1  	 3 	 3 	 3p*2 3p3 1s2 2s2 3s1 4s1 2p*2 2p4 3d*4 3d6  	 61.36367 	 8.7417317E+03	1.8723193E+12	1266660733133360	0.00147815
