# Atomic number Z= 29  Date:21-11-2022

# Register Shelli	2Ji		Eigi	 ---> 	 Shellf		2Jf		Eigf	Energy(eV)			Rate(s-1)		Width(eV)
	172	 K1K1	    1	     1		 ---> 	 M4M5	    5	     4		0                 	0.00000E+00    	0.0            
	173	 K1K1	    1	     1		 ---> 	 M5M5	    3	     2		0                 	0.00000E+00    	0.0            
	174	 K1K1	    1	     1		 ---> 	 M5M5	    5	     3		0                 	0.00000E+00    	0.0            
	175	 K1K1	    1	     1		 ---> 	 M4M5	    5	     2		0                 	0.00000E+00    	0.0            
	176	 K1K1	    1	     1		 ---> 	 M5M5	    7	     2		0                 	0.00000E+00    	0.0            
	177	 K1K1	    1	     1		 ---> 	 M4M4	    3	     1		0                 	0.00000E+00    	0.0            
	178	 K1K1	    1	     1		 ---> 	 M4M5	    5	     1		0                 	0.00000E+00    	0.0            
	179	 K1K1	    1	     1		 ---> 	 M4M5	    7	     1		0                 	0.00000E+00    	0.0            
	180	 K1K1	    1	     1		 ---> 	 M5M5	    9	     1		0                 	0.00000E+00    	0.0            
	181	 K1K1	    1	     1		 ---> 	 M4N1	    3	     1		1.83541430046E+04 	1.05621E+06    	4.36813357719216e-09
	182	 K1K1	    1	     1		 ---> 	 M5N1	    5	     1		1.83543916190E+04 	1.48879E+06    	6.157140709127839e-09
	183	 K1L1	    1	     2		 ---> 	 K1L1	    1	     1		4.25994922602E+00 	6.05996E-02    	2.506198081105216e-16
	184	 K1L1	    1	     2		 ---> 	 K1L1	    3	     1		4.46848276682E+00 	7.60539E-01    	3.1453365738481433e-15
	185	 K1L1	    1	     2		 ---> 	 K1L2	    1	     3		1.19570539145E+02 	1.86472E+10    	7.711862266085119e-05
	186	 K1L1	    1	     2		 ---> 	 K1L2	    3	     3		1.20006298776E+02 	3.95062E+10    	0.00016338451513171518
	187	 K1L1	    1	     2		 ---> 	 K1L2	    1	     2		1.28230178812E+02 	8.74505E+06    	3.6166620784904795e-08
