# Atomic number Z= 29  Date:21-11-2022

# Register Shelli	2Ji		Eigi	 ---> 	 Shellf		2Jf		Eigf	Energy(eV)			Rate(s-1)		Width(eV)
	79 	   L2	    2	     2		 ---> 	   M5	    6	     1		9.51604479206E+02 	2.96559E+06    	1.2264694762580638e-08
	80 	   L2	    2	     2		 ---> 	   N1	    0	     1		9.52341937753E+02 	1.22747E+10    	5.0764080268091196e-05
	81 	   L2	    0	     1		 ---> 	   L3	    2	     1		1.99850686205E+01 	7.54490E+04    	3.12031991995504e-10
	82 	   L2	    0	     1		 ---> 	   L3	    4	     1		2.00678692437E+01 	1.32791E+01    	5.4917944901953594e-14
	83 	   L2	    0	     1		 ---> 	   M1	    0	     1		0                 	0              	0.0            
	84 	   L2	    0	     1		 ---> 	   M1	    2	     1		8.26992348275E+02 	5.60093E+11    	0.0023163585268557276
	85 	   L2	    0	     1		 ---> 	   M2	    2	     2		8.73178689295E+02 	9.93444E+04    	4.1085542585850233e-10
	86 	   L2	    0	     1		 ---> 	   M2	    0	     1		0                 	0              	0.0            
	87 	   L2	    0	     1		 ---> 	   M3	    2	     1		8.75591513413E+02 	5.88440E+04    	2.43359229903424e-10
	88 	   L2	    0	     1		 ---> 	   M3	    4	     1		8.75836401377E+02 	1.48636E+09    	6.14709103662656e-06
	89 	   L2	    0	     1		 ---> 	   M4	    4	     2		9.50958294643E+02 	1.84746E+06    	7.640480641652159e-09
	90 	   L2	    0	     1		 ---> 	   M4	    2	     1		9.51315420619E+02 	9.55444E+12    	0.03951398886137024
	91 	   L2	    0	     1		 ---> 	   M5	    4	     1		9.51444195527E+02 	1.04922E+06    	4.3392252599971194e-09
	92 	   L2	    0	     1		 ---> 	   M5	    6	     1		9.51563480760E+02 	1.94244E+06    	8.03328635941824e-09
	93 	   L2	    0	     1		 ---> 	   N1	    0	     1		0                 	0              	0.0            
	94 	   L3	    2	     1		 ---> 	   L3	    4	     1		8.28006232412E-02 	2.27618E-03    	9.41352409628128e-18
	95 	   L3	    2	     1		 ---> 	   M1	    0	     1		8.06823096191E+02 	3.95267E+11    	0.001634692963194832
	96 	   L3	    2	     1		 ---> 	   M1	    2	     1		8.07007279655E+02 	1.97979E+11    	0.0008187753547863839
	97 	   L3	    2	     1		 ---> 	   M2	    2	     2		8.53193620674E+02 	8.20108E+08    	3.3916941628311675e-06
	98 	   L3	    2	     1		 ---> 	   M2	    0	     1		8.53336520323E+02 	3.36346E+05    	1.3910152868788159e-09
	99 	   L3	    2	     1		 ---> 	   M3	    2	     1		8.55606444793E+02 	2.86828E+08    	1.186225293908288e-06
	100	   L3	    2	     1		 ---> 	   M3	    4	     1		8.55851332756E+02 	3.61081E+08    	1.4933110273393759e-06
	101	   L3	    2	     1		 ---> 	   M4	    4	     2		9.30973226022E+02 	4.07532E+12    	0.016854169274862718
	102	   L3	    2	     1		 ---> 	   M4	    2	     1		9.31330351999E+02 	8.16475E+11    	0.0033766692820915998
	103	   L3	    2	     1		 ---> 	   M5	    4	     1		9.31459126906E+02 	4.45119E+12    	0.018408642691758237
	104	   L3	    2	     1		 ---> 	   M5	    6	     1		9.31578412139E+02 	1.92879E+06    	7.97683449536784e-09
	105	   L3	    2	     1		 ---> 	   N1	    0	     1		9.32315870686E+02 	2.48944E+10    	0.00010295496589130238
	106	   L3	    4	     1		 ---> 	   M1	    0	     1		8.06740295568E+02 	1.11730E+05    	4.6207815167407997e-10
	107	   L3	    4	     1		 ---> 	   M1	    2	     1		8.06924479032E+02 	5.89010E+11    	0.0024359496296209597
	108	   L3	    4	     1		 ---> 	   M2	    2	     2		8.53110820051E+02 	3.96882E+08    	1.6413720665238718e-06
	109	   L3	    4	     1		 ---> 	   M2	    0	     1		8.53253719699E+02 	2.97202E+08    	1.2291287105865919e-06
	110	   L3	    4	     1		 ---> 	   M3	    2	     1		8.55523644170E+02 	2.58703E+08    	1.0699096399582878e-06
	111	   L3	    4	     1		 ---> 	   M3	    4	     1		8.55768532133E+02 	5.04102E+08    	2.084798356888992e-06
	112	   L3	    4	     1		 ---> 	   M4	    4	     2		9.30890425399E+02 	1.03629E+11    	0.00042857510766878393
	113	   L3	    4	     1		 ---> 	   M4	    2	     1		9.31247551376E+02 	9.72124E+10    	0.0004020381823306304
	114	   L3	    4	     1		 ---> 	   M5	    4	     1		9.31376326283E+02 	1.34918E+12    	0.005579760142089279
	115	   L3	    4	     1		 ---> 	   M5	    6	     1		9.31495611516E+02 	7.93641E+12    	0.032822354459211354
	116	   L3	    4	     1		 ---> 	   N1	    0	     1		9.32233070063E+02 	9.70457E+03    	4.013487665257071e-11
	117	   M1	    0	     1		 ---> 	   M1	    2	     1		1.84183464035E-01 	9.01252E-08    	3.727278782355392e-22
	118	   M1	    0	     1		 ---> 	   M2	    2	     2		4.63705244833E+01 	1.79357E+10    	7.417609509514719e-05
	119	   M1	    0	     1		 ---> 	   M2	    0	     1		0                 	0              	0.0            
	120	   M1	    0	     1		 ---> 	   M3	    2	     1		4.87833486019E+01 	3.08349E+10    	0.0001275228998393904
	121	   M1	    0	     1		 ---> 	   M3	    4	     1		4.90282365653E+01 	5.94812E+01    	2.459944773593152e-13
	122	   M1	    0	     1		 ---> 	   M4	    4	     2		1.24150129831E+02 	6.55262E+06    	2.7099458858163516e-08
	123	   M1	    0	     1		 ---> 	   M4	    2	     1		1.24507255808E+02 	3.93156E-01    	1.6259625686885758e-15
	124	   M1	    0	     1		 ---> 	   M5	    4	     1		1.24636030715E+02 	3.89008E+05    	1.608807819085568e-09
	125	   M1	    0	     1		 ---> 	   M5	    6	     1		1.24755315948E+02 	5.45850E-02    	2.2574542118615996e-16
	126	   M1	    0	     1		 ---> 	   N1	    0	     1		0                 	0              	0.0            
	127	   M1	    2	     1		 ---> 	   M2	    2	     2		4.61863410193E+01 	1.06473E+10    	4.40336946596208e-05
	128	   M1	    2	     1		 ---> 	   M2	    0	     1		4.63292406677E+01 	6.07110E+09    	2.51080521491856e-05
	129	   M1	    2	     1		 ---> 	   M3	    2	     1		4.85991651378E+01 	8.47434E+09    	3.5047054182920634e-05
	130	   M1	    2	     1		 ---> 	   M3	    4	     1		4.88440531013E+01 	3.59847E+10    	0.00014882076134025118
	131	   M1	    2	     1		 ---> 	   M4	    4	     2		1.23965946367E+02 	1.08164E+06    	4.47330360670144e-09
	132	   M1	    2	     1		 ---> 	   M4	    2	     1		1.24323072344E+02 	9.75455E+06    	4.0341577324016796e-08
	133	   M1	    2	     1		 ---> 	   M5	    4	     1		1.24451847251E+02 	1.53810E+07    	6.361070483217599e-08
	134	   M1	    2	     1		 ---> 	   M5	    6	     1		1.24571132484E+02 	2.30965E+07    	9.551944894066399e-08
	135	   M1	    2	     1		 ---> 	   N1	    0	     1		1.25308591031E+02 	1.04213E+00    	4.3099033760324796e-15
	136	   M2	    2	     2		 ---> 	   M2	    0	     1		1.42899648470E-01 	1.63049E-02    	6.74316482165104e-17
	137	   M2	    2	     2		 ---> 	   M3	    2	     1		2.41282411859E+00 	2.18299E+01    	9.028121223691038e-14
	138	   M2	    2	     2		 ---> 	   M3	    4	     1		2.65771208204E+00 	1.30387E+02    	5.392373038783519e-13
	139	   M2	    2	     2		 ---> 	   M4	    4	     2		7.77796053482E+01 	1.18967E+11    	0.0004920079787900319
	140	   M2	    2	     2		 ---> 	   M4	    2	     1		7.81367313247E+01 	2.84764E+10    	0.00011776892757837438
	141	   M2	    2	     2		 ---> 	   M5	    4	     1		7.82655062319E+01 	4.59212E+10    	0.00018991482340155518
	142	   M2	    2	     2		 ---> 	   M5	    6	     1		7.83847914651E+01 	3.39256E+02    	1.4030500798741757e-12
	143	   M2	    2	     2		 ---> 	   N1	    0	     1		7.91222500120E+01 	6.68535E+09    	2.7648386031453596e-05
	144	   M2	    0	     1		 ---> 	   M3	    2	     1		2.26992447012E+00 	1.31820E+02    	5.451637156867199e-13
	145	   M2	    0	     1		 ---> 	   M3	    4	     1		2.51481243357E+00 	6.49091E-02    	2.6844246804643357e-16
	146	   M2	    0	     1		 ---> 	   M4	    4	     2		7.76367056997E+01 	2.41044E+02    	9.968778841146239e-13
	147	   M2	    0	     1		 ---> 	   M4	    2	     1		7.79938316762E+01 	1.91702E+11    	0.000792815768658592
	148	   M2	    0	     1		 ---> 	   M5	    4	     1		7.81226065834E+01 	1.39478E+02    	5.76834658902688e-13
	149	   M2	    0	     1		 ---> 	   M5	    6	     1		7.82418918166E+01 	3.89791E+01    	1.612046046891536e-13
	150	   M2	    0	     1		 ---> 	   N1	    0	     1		0                 	0              	0.0            
	151	   M3	    2	     1		 ---> 	   M3	    4	     1		2.44887963451E-01 	6.93754E-02    	2.869136006770784e-16
	152	   M3	    2	     1		 ---> 	   M4	    4	     2		7.53667812296E+01 	6.47474E+10    	0.0002677737305799904
	153	   M3	    2	     1		 ---> 	   M4	    2	     1		7.57239072061E+01 	1.78404E+10    	7.378196596371839e-05
	154	   M3	    2	     1		 ---> 	   M5	    4	     1		7.58526821133E+01 	9.39309E+10    	0.00038846698878620636
	155	   M3	    2	     1		 ---> 	   M5	    6	     1		7.59719673465E+01 	1.74000E+02    	7.196061791039999e-13
	156	   M3	    2	     1		 ---> 	   N1	    0	     1		7.67094258934E+01 	9.90669E+09    	4.097077780728623e-05
	157	   M3	    4	     1		 ---> 	   M4	    4	     2		7.51218932661E+01 	1.77573E+09    	7.3438291978180795e-06
	158	   M3	    4	     1		 ---> 	   M4	    2	     1		7.54790192426E+01 	1.76977E+09    	7.319180618349919e-06
	159	   M3	    4	     1		 ---> 	   M5	    4	     1		7.56077941498E+01 	2.51128E+10    	0.00010385819571610879
	160	   M3	    4	     1		 ---> 	   M5	    6	     1		7.57270793830E+01 	1.50779E+11    	0.000623571839535184
	161	   M3	    4	     1		 ---> 	   N1	    0	     1		7.64645379299E+01 	2.83426E+01    	1.1721557524064958e-13
	162	   M4	    4	     2		 ---> 	   M4	    2	     1		3.57125976514E-01 	3.96208E-02    	1.6385846264967676e-16
	163	   M4	    4	     2		 ---> 	   M5	    4	     1		4.85900883702E-01 	3.15309E-02    	1.304013245558064e-16
	164	   M4	    4	     2		 ---> 	   M5	    6	     1		6.05186116897E-01 	1.98884E-01    	8.22518134051264e-16
	165	   M4	    4	     2		 ---> 	   N1	    0	     1		1.34264466383E+00 	2.54698E-02    	1.0533462908358079e-16
	166	   M4	    2	     1		 ---> 	   M5	    4	     1		1.28774907189E-01 	4.25630E-02    	1.7602642414484796e-16
	167	   M4	    2	     1		 ---> 	   M5	    6	     1		2.48060140383E-01 	8.07194E-08    	3.3382861502050237e-22
	168	   M4	    2	     1		 ---> 	   N1	    0	     1		9.85518687316E-01 	8.81573E-09    	3.6458929777658074e-23
	169	   M5	    4	     1		 ---> 	   M5	    6	     1		1.19285233195E-01 	2.10547E-02    	8.707524263897118e-17
	170	   M5	    4	     1		 ---> 	   N1	    0	     1		8.56743780127E-01 	1.93254E-04    	7.992343249227839e-19
	171	   M5	    6	     1		 ---> 	   N1	    0	     1		7.37458546932E-01 	2.77605E-16    	1.14808203074808e-30
